병명,정의,원인,진단,치료,진료과
18번 염색체 단완결실 증후군(18p monosomy),18번 염색체 단완결실 증후군은 흔하지 않지만 특징적인 표현형을 가지고 있는 질환을 말합니다.,"대부분 염색체 검사를 통해 18번 염색체 단완결실이 확인됩니다. 이 경우 환자의 85%에서는 18번 염색체 단완결실이 자연발생적으로 일어나며, 나머지는 18번 염색체 단완의 구조적 이상을 가진 부모로부터 유전됩니다.  ",18번 염색체 단완결실 증후군은 일반적으로 세포 유전학적 검사(말초혈액 염색체 검사)를 통해 18번 염색체의 단완결실이나 구조적 이상을 확인함으로써 진단합니다.,"18번 염색체 단완결실 증후군은 각 신체 증상에 대한 보존적 치료, 학습 치료, 재활 치료를 통해 치료합니다.",의학유전학과
18번 염색체 장완결실 증후군 (18q monosomy),"18번 염색체 장완결실 증후군은 흔한 염색체 이상 질환은 아니지만, 특징적인 표현형을 가지고 있는 유전성 질환입니다.",18번 염색체 장완결실 증후군은 대부분 자연발생적으로 발생합니다. 나머지는 18번 염색체 장완의 구조적 이상을 지닌 부모로부터 유전되면서 발생합니다. 18번 염색체 장완이 결실되는 부분이 크면 클수록 임상 증상이 심하게 나타납니다. 18번 염색체 장완이 결실되는 부위는 18q21과 18q23 사이입니다. ,18번 염색체 장완결실 증후군의 진단은 일반적으로 세포 유전학적 검사(말초 혈액 염색체 검사)를 통해 18번 염색체 장완의 결실이나 구조적 이상을 확인하는 방법으로 진행합니다.,"18번 염색체 장완결실 증후군 치료는 신체 각 부위의 증상에 대한 치료, 재활 치료, 학습 치료를 시행함으로써 진행합니다.",의학유전학과
22번 염색체 장완 미세결실 증후군(CATCH22),"22번 염색체 미세결실 증후군은 CATCH22 증후군이라고도 합니다. 이 명칭은 심장 기형(Cardiac defect), 비정상적 얼굴 모양(Abnormal face), 흉선 형성 부전(Thymic hypoplasia/aplasia), 구개열(Cleft palate), 저칼슘혈증(Hypocalcemia), 22q11.2 deletion의 약어로, 특징적인 임상 소견을 가진 22번 염색체 이상과 관련된 근접 유전자 증후군을 의미합니다.  이 질환은 원인은 동일하지만 다양한 임상 증상이 나타납니다. 이 때문에 임상 소견에 따라 DiGeorge 증후군, velocardiofacial 증후군(Shprintzen 증후군), conotruncal anomaly face 증후군, Takao 증후군 등으로 분류되기도 합니다.  ","22번 염색체 미세결실 증후군은 22번 염색체의 장완 근위부(22q11.2)의 미세결실로 인해 나타납니다. 이 부위의 결실은 제 3, 4 인두낭의 정상 발육에 영향을 끼쳐 흉선, 부갑상선, 대동맥궁 등의 심장 발달 및 여러 선천성 기형을 유발합니다. 22번 염색체 장완의 미세결실은 자연발생적으로 일어나는 경우가 많지만, 10~15%는 가족력에 의해 나타납니다. 즉, 부모 중 한 사람이 결실된 22번 염색체를 가지고 있는 경우, 자녀가 22번 염색체 미세결실 증후군을 앓게 될 확률은 50%입니다.",22번 염색체 미세결실 증후군 진단은 일반적으로 특징적인 외모와 임상 증상을 통해 가능합니다. 세포 유전학적 검사를 통해서도 부분 결실을 진단할 수 있습니다. 22번 염색체 미세결실 증후군의 15~20%의 경우에는 고정도분염법을 이용한 염색체 검사를 통해 22번 염색체의 장완 근위부(22q11.2) 부분 결실을 확인할 수 있습니다. 이 밖에 22번 장완(22q11.2)에 존재하는 유전자에 대한 소식자를 이용하여 형광동소보합(FISH) 검사를 시행하면 80~90%가 진단됩니다.,"22번 염색체 미세결실 증후군의 근본적인 치료법은 없습니다. 그러나 증상에 따라 수술, 언어 치료, 물리 치료, 정기적인 치료, 특수 교육, 정신과적 상담을 시행할 수 있습니다.","의학유전학센터, 의학유전학과"
4번 염색체 단완결실 증후군(Wolf-Hirschhorn syndrome),"4번 염색체 단완결실 증후군은 월프-허쉬호른(Wolf-Hirschhorn) 증후군이라고도 하는 질환입니다. 이는 1965년에 월프와 허쉬호른이 처음 발표한 질환이기 때문에 붙여진 이름입니다. 이 증후군은 4번 염색체 단완의 부분결실 때문에 발생하며, 안면 기형 및 심한 발달 지연, 정신 지체를 일으킨다고 알려져 있습니다. 발생 빈도는 출생아 30,000~50,000명 중 1명입니다. ",4번 염색체 단완결실 증후군은 4번 염색체 단완의 부분결실이 주 원인입니다. 이 증후군의 발병 부위는 4번 염색체 단완의 말단(4p16.3)이라고 알려져 있습니다. 85%~90%는 4번 염색체 단완의 부분결실이 자연발생적으로 일어납니다. 나머지 10%~15%는 4번 염색체 단완의 상호 전좌를 가진 부모로부터 유전되어 발생합니다.,4번 염색체 단완결실 증후군은 외형상 특징과 임상 증상으로 판별할 수 있습니다. 일반적으로 세포 유전학적 검사(말초 혈액 염색체 검사)를 통해 4번 염색체 단완결실이나 구조적 이상을 확인합니다. 4번 염색체 단완결실 증후군의 일부가 가지고 있는 4번 염색체 단완의 미세한 결실로 인해 검출하기가 어려울 경우에는 형광동소보합(FISH) 검사를 통해 4p16.3의 미세결실을 확진합니다.,4번 염색체 단완결실 증후군은 신체 각 부위의 이상에 대한 치료와 재활 치료를 통해 치료합니다.,"의학유전학센터, 의학유전학과"
"ARC 증후군(Arthrogryposis, Renal dysfunction, Cholestasis, ARC syndrome)","ARC 증후군은 선천적 관절 굽음증(arthrogryposis), 담즙 정체(cholestasis)와 색소 침착 등으로 인한 간 병변, 신세뇨관의 변성 및 신석회화증 등 신세뇨관 기능 이상(renal tubular dysfunction)을 동반하는 유전 질환을 가리킵니다. 1973년에 Lutz-Richner와 Landolt 등이 처음으로 이 질환에 대해 기술하였고, 1979년 Nezolef, 1994년 Horslen 등을 거쳐 ARC 증후군이라고 명명되었습니다.  ARC 증후군은 초기에 대사 이상에 의해 발생한다고 추정되었으나, 2004년 VPS33B 유전자 이상을 확인한 후 상염색체 열성 유전 질환임이 확인되었습니다. ARC 증후군은 100만 명당 1명꼴로 발생하는 매우 드문 질환입니다. 환자는 대부분 1세 이전에 사망합니다. 특별한 치료 방법이 없기 때문에 가계 분석이나 유전자 검사를 통한 조기 진단이 필요합니다.  ","ARC 증후군은 염색체 15번 장완(15q26.1)에 위치한 VPS33B 유전자의 이상으로 인해 발생합니다. VPS33B 유전자는 617개의 아마노산으로 구성된 단백으로, SNARE(sensory nerve action potential receptor) 단백과 상호 작용하여 세포 내의 소포(vesicle) 막 융합에 관여합니다. ARC 환자들의 경우에도 VPS33B 유전자 이상으로 막 단백 소통(trafficking)에 문제가 있음이 보고되었습니다.","ARC 증후군은 관절 굽음증, 신 세뇨관 기능 이상, 담즙 정체가 나타나는 환아를 통해 진단할 수 있습니다.  ARC 증후군을 진단하기 위한 증상별 검사 방법은 다음과 같습니다.  - 근조직 검사나 근전도 검사 : 관절구축- 소변 검사 : 단백뇨, 혈뇨, 당뇨, 인산뇨, 칼슘뇨- 전해질 검사 : 저나트륨혈증, 저칼륨혈증, 혈중 크레아틴 상승- 신세뇨관 기능부전 : 신세뇨관 산증, 신성 요붕증- 신장 초음파와 생검 : 신장의 피질과 수질의 미분화, 칼슘 침착, 세뇨관 위축(atrophy)- 간생검 : 간세포가 거대 다핵 세포로 변형되고, 담도는 거의 없으며, 지방 갈색소(lipofuscin)가 침착됩니다.  이 밖에도 분자 유전학적 검사를 통해 염색체 15번 장완(15q26.1)에 위치한 VPS33B 유전자의 돌연변이를 확인함으로써 진단할 수 있습니다.",ARC 증후군은 특별한 치료 방법이 없으며 사망률이 높은 질환입니다. 신세뇨관 기능 부전으로 인해 지속적인 전해질 보충과 산증 교정 치료가 필요합니다. 급성 신부전의 경우에는 복막 투석을 실시합니다. 가족과 환자를 위해 유전 상담이 필요합니다. 증상 완화를 목표로 하는 대증 요법과 각종 부작용과 합병증을 조절하고 완화하기 위한 지지 요법(supportive therapy)을 시도할 수 있습니다.,"의학유전학센터, 의학유전학과"
Haw River 증후군(Dentatorubro-Pallidoluysian atrophy(DRPLA)),"Haw River 증후군은 Dentatorubral-Pallidoluysian Atrophy(DRPLA)라고도 불리는데, 추체외로계에서 신경계 퇴화 변성이 일어나는 신경 퇴행성 질환입니다. 이는 무도병과 유사한 임상 증상을 보이기 때문에 ‘근간대성 간질이 동반된 무도병 아데토시스' 라고도 불리는 희귀한 유전 질환입니다. 이는 주로 성인기에 나타나는 진행성 질환입니다. Dentatorubral-Pallidoluysian의 dentro는 소뇌를 의미하며, rubro는 중뇌, pallidoluysian은 대뇌기저핵을 의미합니다.  이 질환은 1972년 일본의 Natio et al.에 의해 처음으로 기술되었습니다. 1982년 일본에서 유사한 임상 증상을 보이며 상염색체 우성 유전의 양상을 보인 40여 가족 구성원이 보고되면서 새로운 유전 질환으로서 Hereditary Dentatorubral-Pallidoluysian Atrophy라고 명명되었습니다.  DRPLA와 Haw River 증후군은 임상 증상이나 발현 시기, 인종 등에 따라 다른 양상을 나타내지만, 임상적으로는 똑같은 삼핵산 반복 증폭을 나타내는 질환으로 분류됩니다. DRPLA는 주로 일본인들에게 많이 발생하며, Haw River 증후군은 주로 아프리카계 미국인에게 많이 발생합니다.  DRPLA의 증상 발현 시기는 10세 이하~70세로, 평균 발병 연령은 27~33세입니다. Haw River 증후군의 증상 발현 시기는 15~30세로, DRPLA보다 빠르며, 보통 발병 후 15~20년 사이에 사망합니다.","Haw River 증후군, 즉 DRPLA는 상염색체 우성으로 유전되며, 12번 염색체 단완(12p13.31)에 위치하는 DRPLA 유전자의 첫 번째 exon에서 불안정한 삼핵산(CAG)이 반복 증폭함으로써 발병합니다. 정상인의 경우에는 DRPLA 삼핵산 반복 증폭은 6~35를 나타내지만, DRPLA 환자의 경우에는 48~93를 나타냅니다. 또한 세대를 거쳐 내려감에 따라 반복 증폭 수가 증가하며, 이로 인해 발병 시기가 어려지고, 증상이 더 심해지는 '표현 촉진' 양상이 나타납니다.","Haw River 증후군, 즉 DRPLA 진단은 가족력을 바탕으로 하며, 임상 증상에서는 무도병과 유사한 표현 양상이 보입니다. 이 때문에 진단 시 무도병의 증상을 지닌 환자가 무도병 검사 결과에서 음성이 나타나면, 반드시 DRPLA에 대한 검사를 고려해야 합니다.  분자 유전학 검사는 12번 염색체상의 DRPLA 유전자의 CAG 삼핵산 반복 증폭을 확인하는 검사로, 이를 통해 99% 이상 확진할 수 있습니다.  산전 진단은 융모막 천자 및 양수 천자를 통해 유전자 검사를 진행하는 것입니다. 이환되지 않은 환자 가족들에 대한 검사는 유전 상담을 통해 결정할 수 있도록 합니다.  ","Haw River 증후군, 즉 DRPLA 치료는 신경학적 증상, 정신과적 증상에 대해 약물 치료를 포함한 보조 요법을 시행함으로써 진행합니다.","의학유전학센터, 의학유전학과"
MERRF(Myoclonic Epilepsy with Ragged Red Fiber) 증후군(Myoclonic epilepsy associated with ragged red fibers(MERRF)),"MERRF(Myoclonic Epilepsy with Ragged Red Fiber) 증후군은 사립체성 뇌근병증 중 하나의 질환입니다. 이는 1980년 후쿠하라(Fukuhara) 등이 처음 보고한 질환으로, 비교적 드문 질환입니다. 임상적으로는 간대성 근경련(progressive myoclonus), 간질(epilepsy), 운동 실조(ataxia), 사지 무력, 치매(dementia) 등의 특징이 있습니다. 조직 병리학적으로는 근육 생검상 modified Gomori trichrome 염색에 의하여 ""불균일적적색근섬유(ragged-red fibers(RRF))""가 관찰됩니다. 전자현미경적으로는 사립체의 숫자나 크기 등의 변화가 확인됩니다.",MERRF는 사립체 유전자 tRNALys의 8344 위치에서 adenine(A)이 guanine(G)으로 치환된 점 돌연변이가 가장 많이 보고되었습니다. 8356 위치에서 thymine(T)이 cytosine(C)으로 치환된 돌연변이의 예가 보고되기도 합니다. 이 질환에 대한 분자병리학적인 이해가 시도되고 있습니다.,MERRF 증후군은 사립체 유전자 진단이 중요합니다. 근육 조직 검사는 보조적인 검사입니다. 한편 이 증후군은 근육 조직 효소 분석을 통해 진단할 수도 있습니다.  ,MERRF 증후군은 경련 예방과 치료가 중요합니다. 질환의 전반적 진행을 막을 수는 없습니다.,"의학유전학센터, 의학유전학과"
OTC 결핍증 (Ornithine-transcarbamylase deficiency),"OTC(Ornithine transcarbamylase) 결핍증은 노폐물을 무해하게 변화시키는 대사 과정에 유전적으로 장애가 생겨 발생하는 선천성 대사 이상증을 가리키는 질환입니다. 이 질환이 있는 아이가 출생 후 수유를 시작하면 고암모니아 혈증을 보입니다. 이 질환의 진단이 늦어질 경우 심한 뇌손상이 일어나며, 심하면 사망에 이릅니다. OTC 결핍증은 요소회로 대사이상증 중에서 유일하게 X 염색체로 유전됩니다. 이 질환은 7만~10만 명당 한 명의 발생 빈도를 보이는 가장 흔한 요소회로 대사이상증으로 추정됩니다. 현재 여섯 가지 종류의 질환이 알려져 있으며, 빈도는 모두 합쳐서 신생아 3만 명 당 1명 정도입니다.  ","OTC 결핍증은 오르니틴 트랜스카바미라제(Ornithine transcarbamylase)의 결핍에 의해 발생합니다. 유전자는 X 염색체의 단완에 위치하고 있습니다. 이 효소가 결핍되면 단백 대사 노폐물인 암모니아가 정상적으로 처리되지 않고, 인체에 필요한 아르기닌의 합성이 저해됩니다.","OTC 결핍증의 정확한 진단을 위해서는 혈액의 암모니아, 아미노산 농도 측정과 소변의 유기산 분석이 필요합니다. 혈액과 체액 중에 암모니아가 현저히 증가합니다. 혈장에서는 비특이적으로 글루타민(glutamine), 아스파틱산(aspartic acid)과 알라닌(alanine)이 증가하지만 시트룰린(citrulline)이 감소합니다. OTC 결핍증에서는 소변의 오로트산(orotic acid)이 증가하기 때문에 카르바미룰린산 합성효소결핍증(carbamyl phosphate synthetase deficiency)과 감별할 수 있습니다. 최근에는 유전자 분석으로 보인자, 환자 및 태아의 산전 진단도 가능해졌습니다.","급성기 OTC 결핍증은 혈액 투석 또는 복막 투석을 하면서 안식향산(sodium benzoate), 페닐 아세테이트(phenylacetate)와 아르기닌(arginine) 주사로 암모니아 수치를 낮추며 고탄수화물, 고지방식이를 통해 충분한 열량을 공급하여 치료합니다.  급성기에서 회복되면 저단백 고탄수화물식(단백질 섭취량 1.0~1.5g/kg/일) 및 안식향산과 페닐 아세트산(phenylacetic acid) 또는 소듐 페닐부티레이트(sodium phenylbutyrate)를 경구 투여하여 암모니아치를 150 mg% 이하로 만듭니다. 안식향산을 투여하면 마뇨산(hippuric acid)이 소변으로 배설되고, 페닐아세트산을 투여하면 페닐아세트 글루타민(phenylacetyl glutamine)의 배설이 증가되어 효과적인 치료가 이루어집니다.","의학유전학센터, 의학유전학과"
PSA 상승(Elevated PSA),"PSA(전립선 특이항원)는 전립선에서만 생성되는 단백질로 이는 정액의 액화에 관여합니다. 정액의 액화는 정액 검사를 하기 위해 컵에 정액을 받으면 처음에는 젤리 상태였다가 점점 묽어지는 현상을 말합니다. 이는 정자가 여성의 질 내에서 살아 남아 난자와 결합하는 과정에서 중요한 역할을 합니다. PSA는 전립선 조직, 특히 전립선, 도관의 내공 상피, 전립선 분비물에 존재하고 전립선에서만 나온다고 해서 전립선 특이라고 합니다. PSA 상승은 이러한 특이항원이 상승하는 질환을 말합니다. ","PSA 상승은 간단한 혈액 검사로 PSA 수치를 알아봄으로써 확인할 수 있습니다. PSA가 비정상적인 수치를 보이면 암일 가능성이 있습니다. 그러나 전립선 비대증, 전립선염의 경우에도 PSA 수치가 상승할 수 있습니다. 성관계(사정) 후 48시간 이내나 방광경 검사, 직장 수지 검사 이후에도 PSA 수치가 약간 상승할 수 있습니다. 따라서 PSA 검사는 암을 의심하는 아주 유용한 검사이지만, 이 검사 자체가 암을 의미하지는 않습니다. ","PSA 수치가 전립선암 외에 다양한 전립선 질환이나 급성 요폐 등과 같은 상태에서도 증가할 수 있습니다. 이 때문에 이 수치는 이상적인 종양 지표로서 한계가 있지만, 전립선암의 조기 진단 및 치료 판정이나 추적 검사에서 가장 유용한 종양 지표입니다.  모든 일반인들에게 전립선암 조기 검진 차원에서 PSA 검사를 받도록 하는 것은 아직 논란이 많으나 미국 비뇨기과학회에서는 50세 이상부터 PSA 검사와 직장 수지 검사를 매년 시행할 것을 권고하고 있습니다. 특히 가족력이 있는 사람이나 흑인들은 40세 이상부터 검사받을 것을 권고하고 있습니다.  PSA 수치의 정상 범위는 1.0~3ng/mL입니다. 10ng/mL 이상이면 암일 확률이 50% 이상입니다.",,비뇨의학과
RS바이러스 감염증(RS virus infection),"RS 바이러스 감염증은 RS 바이러스에 감염되어 유발하는 감염성 호흡기 질환을 말합니다. RS 바이러스는 우리말로 호흡기 세포 융합 바이러스라고 합니다. 이는 만 2세까지 거의 모든 소아가 감염될 정도로 감염력이 높습니다. 이 바이러스에 한 번 감염되면 평생동안 지속적으로 재감염이 이루어집니다. 성인의 경우 가벼운 감기로 나타나는 경우가 많습니다. 하지만 면역 저하자 또는 노령층에서는 중증 감염이 유발될 수 있습니다.  이 바이러스는 5세 미만 아동이 감염되면 입원율이 높으며, 생후 3개월째가 감염 후 입원율이 가장 높은 연령입니다. RS 바이러스는 주로 모세 기관지염과 폐렴으로 진행됩니다. 어린 아기가 RS 바이러스에 감염될 경우 사망 위험률이 증가합니다. 미숙아나 만성 폐질환, 선천성 심장 질환을 보유한 고위험군 아기가 RS 바이러스에 감염되면 심각한 합병증이 유발될 수 있습니다.  RS 바이러스 감염증은 계절적으로 가을부터 초봄 사이에 가장 많이 발생합니다. 드물게 연중 어느 때나 발병할 수 있습니다. 놀이방과 같이 사람들이 많은 환경에 노출될 경우 감염률은 더 높습니다. ","RS 바이러스 감염증을 일으키는 RS 바이러스는 일상생활에서 접하기 쉬운 바이러스입니다. 이는 부엌 조리대나 장난감, 수건, 담요나 이불, 사용한 휴지 등과 같은 물건에 묻은 채로 몇 시간 정도 살아있습니다. 이러한 RS 바이러스와 접촉하면, 감염될 수 있습니다. 가족 구성원의 숫자가 많거나 어린이집 등과 같은 곳에서 집단 활동이나 생활을 하는 아기들의 경우 상대적으로 감염 확률이 높습니다.","RS 바이러스 감염증 진단은 가래나 콧물 등에 의한 분비물 배양 검사를 해서 확진할 수 있습니다. 감별 진단으로 리노 바이러스를 포함한 다양한 상하기도 감염 바이러스와 폐렴이나 세기관지염이 있는 소아에게서 박테리아가 나오지 않으면, RS 바이러스 감염증을 염두에 둡니다. 비감염성 저산소증, 이물질 흡인으로 인한 폐렴이나 천식과도 감별 진단이 되어야 합니다.","RS 바이러스 감염증 치료는 RS 바이러스에 대한 예방 백신이나 항바이러스제가 없기 때문에 증상에 따른 보존적 치료가 우선입니다. 입원한 유아에게는 리바비린(Ribavirin) 흡인 치료가 도움이 되기도 합니다. 또한 기관지폐이형성증이나 선천성 심장 질환이 있는 소아 등 고위험군에게는 감염 예방을 위해 겨울 동안 RS 바이러스 면역글로불린을 주사하거나, RS 바이러스가 유행하는 9월부터 3월까지 매월 표적 항체(monoclonal anti-RSV antibody)를 근육 주사하기도 합니다.",감염내과
