label,text
건선,"지난 몇 주 동안 팔, 다리, 몸통에 피부 발진이 생겼어요. 빨갛고 가려운데, 마른 비늘 같은 게 덮여 있어요."
건선,"제 피부가 벗겨지고 있어요, 특히 무릎, 팔꿈치, 그리고 두피 쪽이요. 이 벗겨짐이 종종 화끈거리거나 따끔거리는 느낌이랑 같이 와요."
건선,"손가락, 손목, 무릎 관절에 통증이 있어요. 통증이 자주 욱신거리고 쑤시는데, 관절을 움직일 때 더 심해져요."
건선,"제 피부에 은색 가루 같은 게 생겼어요. 특히 허리 아래쪽이랑 두피에 많이 보이는데, 이게 작은 비늘 같은 거라서 긁으면 쉽게 떨어져요."
건선,"손톱에 작은 움푹 들어간 자국이나 점 같은 게 생겼고, 만지면 자주 염증이 생긴 것처럼 아파요. 팔에도 작은 발진이 좀 있어요."
건선,손바닥이랑 발바닥 피부가 두꺼워지고 깊은 갈라짐이 생겼어요. 이 갈라진 곳들이 아프고 쉽게 피가 나요.
건선,"입 주변이랑 코, 눈 주위 피부가 빨갛고 염증이 생겼어요. 자주 가렵고 불편해요. 손톱에도 눈에 띄게 염증이 있어요."
건선,제 피부가 굉장히 예민해서 온도나 습도 변화에 쉽게 반응해요. 그래서 어떤 제품을 피부에 사용하는지도 항상 조심해야 해요.
건선,"갑자기 몸 여기저기, 주로 팔, 다리, 등에 피부가 벗겨지는 걸 발견했어요. 그리고 관절 통증이 심하고 피부 발진도 있어요."
건선,제 성기 피부가 빨갛게 부어올랐어요. 자주 가렵고 화끈거리고 불편해요. 몸 여기저기에도 발진이 있어요.
건선,요즘 피곤하고 몸이 좀 안 좋은 것 같아요. 푹 자고 일어나도 자주 피곤하고 기운이 없어요.
건선,"피부에 생긴 발진이 가슴이랑 배 쪽으로 번졌어요. 가렵고 불편한데, 특히 밤에 더 심해지는 것 같아요. 게다가 피부가 벗겨지기도 해요."
건선,"겨울철에 공기가 건조할 때 피부 발진이 더 심해져요. 그래서 보습제를 더 자주 발라야 하고, 가습기도 사용해서 피부를 촉촉하게 유지하려고 해요."
건선,"발진 때문에 가려움증이 생겨서 잠을 잘 못 자겠어요. 그리고 손톱에 작은 오목한 부분들이 생겼는데, 이게 정말 걱정돼요."
건선,제 피부가 건조하고 각질이 많아서 자주 감염이 되는 것 같아요. 관절에도 심한 통증이 있어요. 무릎이랑 팔꿈치 쪽 피부가 벗겨지기 시작했어요.
건선,피부에 발진이 생기기 시작했어요. 긁거나 문지르면 자주 피가 나고요. 게다가 손톱에 작은 패인 자국도 생긴 것 같아요.
건선,요즘 피부가 예전보다 더 예민해진 것 같아요. 특히 등에랑 팔꿈치 쪽에 은색 가루 같은 게 생겼어요.
건선,"손바닥이랑 팔꿈치, 무릎에 계속해서 피부가 벗겨져서 걱정이에요. 팔에는 발진도 생겼는데, 만지면 가려워요. 이런 것들 때문에 생활이 너무 불편하고 힘들어요."
건선,관절에 이상한 통증이 있어요. 그리고 몸 여기저기에서 피부가 이상하게 벗겨지는 것도 발견했어요. 제 몸에 뭔가 문제가 있는 것 같아서 걱정돼요.
건선,손톱에 작은 움푹 파인 자국들이 생겼어요. 게다가 관절도 심하게 아프기 시작했어요. 특히 등에 은빛 가루 같은 게 피부에 생겼어요.
건선,"피부에 난 발진이 잘 낫지 않아요. 게다가 갑자기 피부가 벗겨지는 것도 발견했는데, 특히 팔꿈치랑 무릎 쪽이요. 정말 걱정돼요."
건선,"몇 주 전부터 팔이랑 다리, 가슴에 피부 발진이 생겼어요. 빨갛고 가려운데, 건조하고 비늘 같은 부분도 있어요. 그리고 관절도 이상하게 아프네요."
건선,"피부가 벗겨지고 있어요, 특히 무릎, 팔꿈치, 두피 쪽이요. 이게 자주 따끔거리거나 화끈거리는 느낌이랑 같이 나타나요."
건선,"손가락이랑 손목, 무릎 관절이 불편해요. 통증이 자주 쑤시고 욱신거리는데, 관절을 움직일 때 더 심해져요."
건선,"제 피부에 특히 등에, 팔에, 두피에 은빛 막 같은 게 생겼어요. 이게 작은 비늘처럼 되어 있어서 긁으면 쉽게 벗겨져요."
건선,"입 주변이랑 코, 눈 주위 피부가 빨갛고 염증이 생겼어요. 자주 가렵고 불편한데, 최근에는 진짜 많이 아파졌어요."
건선,제 피부가 너무 예민해서 온도나 습도가 조금만 바뀌어도 금방 자극을 받아요. 그리고 손톱에 움푹 들어간 자국이 생겼어요. 이런 갑작스러운 변화가 걱정돼요.
건선,"갑자기 몸 여기저기, 주로 팔, 다리, 등 쪽에 피부가 벗겨지고 있어요. 게다가 관절도 많이 아프고 피부에 발진도 생겼어요. 이 발진이 몸 다른 부위로도 퍼지고 있어요."
