label,text
18번 염색체 단완결실 증후군(18p monosomy),"18번 염색체 단완결실 증후군에는 소두증, 안검 하수, 사시, 양안 격리증, 크고 처진 입, 소하악증, 크고 돌출된 귀, 전전뇌증(10%), 심장 기형, 성장 장애, 충치, 면역글로불린A(IgA) 결핍, 대머리, 터너 증후군(일부 환자) 증상이 동반됩니다. 이 증후군으로 인해 정신 지체가 발생한 경우에는 IQ가 25~75 정도로 나타납니다. 전전뇌증이 없는 경우에는 대부분 성인까지 생존합니다."
18번 염색체 장완결실 증후군 (18q monosomy),"18번 염색체 장완결실 증후군은 소두증, 안면 중앙부 저형성, 깊게 패인 눈, 짧은 코, 짧은 윗입술과 가장자리가 처진 크고 벌린 입, 변형 귀, 외이도 폐쇄, 길고 가는 손가락, 잠복 고환, 요도하열, 근긴장 저하, 무도성 무정위운동, 척수성 근위축증 등을 동반합니다. 이 밖에도 성장 장애, 정신지체 등이 나타납니다. 정신지체의 경우에는 IQ가 40~85 정도로 나타납니다."
22번 염색체 장완 미세결실 증후군(CATCH22),"22번 염색체 미세결실 증후군은 심장 기형, 구개열(구순열), 비음, 안면 기형(긴 코, 돌출된 콧대, 짧은 인중, 작은 턱에 편평한 광대뼈, 좁은 안검열, 양안 격리증, 변형 귀, 작은 입), 저칼슘혈증을 유발하며, 때로 발작을 일으키는 부갑상선기능저하증, 갑상선기능저하, T 림프구와 관련된 면역 체계 이상, 잦은 상기도 감염, 잦은 중이염, 성장 발달 지연, 위장관 기형, 신장, 비뇨기계 기형, 행동 장애 및 학습 장애, 정신과적 이상, 홍채 결손이나 원시와 같은 시력 장애, 청각 장애(유스타키오관의 기능 이상, 중이염, 청력 상실), 소두증, 작은 키, 작은 몸통, 척추 측만증, 앞으로 돌출된 작은 어깨, 발 기형, 잠복 고환 등이 동반됩니다.

특히, DiGeorge 증후군과 conotruncal anomaly face 증후군의 경우에는 심장 기형 빈도가 높고, velocardiofacial 증후군의 경우에는 30% 정도에서 심장의 이상이 관찰됩니다. 주된 기형으로는 대동맥궁의 이상, Fallot 4징, 심실 중격 결손 증상이 있습니다.

"
4번 염색체 단완결실 증후군(Wolf-Hirschhorn syndrome),"4번 염색체 단완결실 증후군은 그리스 투구형 얼굴(장두증, 전두골 돌출, 뚜렷하고 넓은 미간, 안구의 저형성, 내안각췌피, 크고 넓은 코, 뾰족한 코, 소하악증)이 특징입니다. 또한 사시, 낮게 변형된 귀, 아래로 처진 입, 구순열 및 구개열(15%), 심장 기형(중격 결손), 요도 하열, 잠복 고환, 척추 측만증, 발작 등의 증상이 동반됩니다. 경중의 차이가 있기는 하지만 정신 지체, 수유 곤란의 증세가 나타나기도 합니다.
"
"ARC 증후군(Arthrogryposis, Renal dysfunction, Cholestasis, ARC syndrome)","ARC 증후군의 특징적인 증상으로는 크게 관절 구축(arthrogryposis), 신세뇨관 기능 이상(renal tubular dysfunction), 담즙 정체(cholestasis)가 있습니다.

① 관절구축은 척추 전각 세포가 희박하여 신경인성 근육 위축이 생기는 것으로 알려져 있습니다. 이는 근긴장 저하와 다발성 관절구축의 형태로 나타나고, 선천적으로 발생합니다. 관절구축은 주로 중심 골격보다 사지 말단에 잘 나타나며, 엉덩이 굴곡 및 내전, 무릎 이완, 내반첨족 형태로 나타납니다.

② 신세뇨관 기능 부전(세뇨관 장애)으로 인해 당, 단백, 인산, 칼슘, 중탄산염 등이 소변으로 빠져나가서 근위신세뇨관 산증, 신성 요붕증이 나타납니다. 이 밖에 저나트륨혈증, 저칼륨혈증이 나타나기도 합니다.

③ 담도 저형성과 담즙 정체에 의해 황달이 발생하며, 간염이 생깁니다. 드물게 간 부전이 나타나는 경우도 있습니다.

이 밖에도 ARC 증후군은 식물의 위장관 흡수 장애로 인해 모든 환아에게 심한 성장 및 발달 지연이 나타납니다. 피부 탄력이 떨어지고 각질이 많이 생기는 비늘증(ichthyosis)도 나타납니다. 얼굴 및 두개에 낮게 위치한 귀, 높은 구개궁, 경한 안면 이형성증(dysmorphism), 뇌량 무형성증(corpus callosum)이 나타나기도 합니다. 엄지손가락이 근위 쪽에 위치하거나 잠복 고환이 동반되는 경우도 있습니다."
Haw River 증후군(Dentatorubro-Pallidoluysian atrophy(DRPLA)),"Haw River 증후군, 즉 DRPLA의 주요 임상 증상은 간질, 간대성 근경련, 운동 실조증, 무도성 무정위운동 등입니다. 환자에 따라 임상 증상과 발현 시기가 다릅니다. Haw River 증후군, 즉 DRPLA는 임상 증상과 발현 시기에 따라 다음 세 가지 유형으로 나누어집니다. 대부분은 성인기에 발현됩니다.

① 유년기발현 시기 : 20세 이하병명: 진행성 근간대성 간질 증후군주요 증상 : 정신 지체, 발작, 간대성 근경련, 운동 실조, 광발작 반응, 치매예후: 처음 증상은 대부분 걸음 걸이가 불안정해는 것입니다. 5세 이전의 환자의 경우 정신 지체를 보이고, 증상들이 악화될 경우 약 10년 후에는 식물 인간이 됩니다.

② 성인기발현 시기 : 20~50세병명 : 가성 무도병 유형(peudo-Huntington form)주요 증상 : 운동 실조, 무도성 무정위 운동, 치매, 정서적 변화예후 : 임상 증상이 광범위하고 다양하며, 보통 30세에 어눌한 말씨, 운동 실조, 손가락 진전(떨림) 등이 나타납니다. 발작은 이후에 나타납니다.

③ 노년기발현 시기 : 50세 이상주요 증상 : 운동 실조, 구음 장애, 간대성 근경련, 무도성 무정위 운동"
MERRF(Myoclonic Epilepsy with Ragged Red Fiber) 증후군(Myoclonic epilepsy associated with ragged red fibers(MERRF)),"MERRF 증후군은 Shapira 등에 의하여 처음 용어가 사용되었을 때는 '사립체성 뇌근병증(mitochondrial encephalomyopathy)' 또는 '사립체성 근병증(mitochondrial myopathy)'이라고 불렸습니다. 이처럼 사립체의 형태학적, 기능적 이상이 있으면서 골격근 이외에 여러 장기들이 침범당하는 것이 주된 증상입니다. 사립체의 형태학적, 기능적 이상과 근육 신경계의 장애 등이 특징으로 나타납니다. 이는 매우 희귀한 질환으로, 비교적 최근에 알려지기 시작했습니다. 이 질환에 대한 연구는 현재까지 임상적, 생화학적, 병리학적, 유전학적으로 각기 분류되어 진행되고 있습니다. 현재 한 쪽의 분류가 다른 쪽의 분류를 충분히 설명하지 못하는 단계이기 때문에, 진단하기 어려운 경우가 종종 발생합니다.

임상적인 분류로는 DiMauro 등이 분류한 3가지 주요 증후군이 가장 널리 알려져 있습니다.

① Kearns와 Sayre가 1958년 보고한 Kearns-Sayre 증후군② Fukuhara 등이 1980년 처음으로 보고한 MERRF(Myoclonic Epilepsy with Ragged-Red Fiber) 증후군③ Pavlakis 등이 1984년 처음 보고한 MELAS(Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, and Stroke-like Episodes) 증후군

유전학적인 측면에서 살펴보면, 사립체는 핵과는 다른 고유 정보를 가진 DNA(mitochondrial DNA)를 가지고 있으며, 모성 유전(maternal inheritance)을 하는 특이한 세포 내 소기관입니다. 이는 대부분의 세포에 존재하고 있으므로, 골격근뿐만 아니라 뇌 및 기타 여러 장기를 침범하여 전신적인 근무력, 외안근 마비, 말초신경변증, 중추신경계 증상 등과 같은 다양한 임상 양상을 일으킵니다.
"
OTC 결핍증 (Ornithine-transcarbamylase deficiency),"OTC 결핍증의 증상은 신생아형과 지발형으로 나눌 수 있습니다.

신생아형은 수유 시작 후 2~3일경에 구토, 식욕 저하, 보챔, 경련, 의식 혼탁, 지능 저하, 발달 지연, 신경학적 장애 등의 증상이 나타납니다.지발형은 지능 저하, 정신과적 문제, 간헐적인 구토 및 의식 변화, 단백질이 풍부한 음식에 대한 혐오감 등의 증상이 나타납니다."
PSA 상승(Elevated PSA),"PSA 수치가 전립선암 외에 다양한 전립선 질환이나 급성 요폐 등과 같은 상태에서도 증가할 수 있습니다. 이 때문에 이 수치는 이상적인 종양 지표로서 한계가 있지만, 전립선암의 조기 진단 및 치료 판정이나 추적 검사에서 가장 유용한 종양 지표입니다.

모든 일반인들에게 전립선암 조기 검진 차원에서 PSA 검사를 받도록 하는 것은 아직 논란이 많으나 미국 비뇨기과학회에서는 50세 이상부터 PSA 검사와 직장 수지 검사를 매년 시행할 것을 권고하고 있습니다. 특히 가족력이 있는 사람이나 흑인들은 40세 이상부터 검사받을 것을 권고하고 있습니다.

PSA 수치의 정상 범위는 1.0~3ng/mL입니다. 10ng/mL 이상이면 암일 확률이 50% 이상입니다."
RS바이러스 감염증(RS virus infection),"RS 바이러스 감염증의 잠복기는 2~8일이며, 재채기, 코막힘, 콧물, 인후통, 발열 등 감기와 비슷한 증상이 나타납니다. 하지만 매우 빠른 속도로 쌕쌕거리거나 호흡하며, 심하게 기침하고, 숨쉬기 어려워하고, 피부색이 청색 및 회색을 띠며, 먹고 마시고 잠자기 힘들어하는 등 심각한 증상으로 발전할 수 있습니다.
"
Rh 부적합 임신(Rh Incompatibility pregnancy),"Rh 부적합 임신은 산모가 태아 혈액에 대한 항체를 만드는 데에 얼마 간의 시간을 필요로 하기 때문에 산모가 유산의 경험이 없다면 첫아이는 영향을 받지 않습니다.Rh 부적합 임신이 태아에게 미치는 효과는 존재하는 항체의 양과 항체가 생산된 임신 기간에 따라 다릅니다. Rh 항체가 태아의 적혈구를 공격하면 태아의 적혈구가 파괴되어 빈혈과 황달이 생길 수 있습니다.

과도하고 지속적인 용혈로 인해 빈혈이 생기고 이로 인해 골수 내 적혈구계 증식의 촉진이 현저해지며 간과 비장의 골수외 조혈이 증가합니다. 결국 간기능 부전을 일으키게 됩니다.

태아에게 심비대와 폐출혈이 있을 수 있고 심부전이 발생하여 태아 흉강, 복강, 피부에 액체가 고일 수 있습니다. 심한 경우 자궁 내 태아 사망이 일어날 수 있습니다.

출산 시 산모에게는 복수, 간비대, 비장 비대 등이 심한 난산을 유발할 수 있습니다. 태아 혈액 중에서 항체의 공격을 받아 파괴된 적혈구는 빌리루빈으로 전환되어 황달을 일으킵니다. 출산 후에는 신생아의 피부색이 황달로 인해 노랗게 되고 심한 빈혈로 피부가 창백해지며 호흡 곤란이 동반될 수 있습니다.
"
