label,text
알레르기,저는 천식을 앓고 있어서 쌕쌕거리는 소리와 호흡 곤란이 있습니다. 또한 열이 나고 두통이 있으며 항상 피곤함을 느낍니다.
조기 난소 부전,"원발성 난소 부전의 징후와 증상은 폐경이나 에스트로겐 결핍과 유사합니다. 이러한 증상에는 다음이 포함됩니다: - 불규칙하거나 건너뛰는 생리: 이는 몇 년 동안 지속될 수 있으며, 임신 후나 피임약 복용 중단 후에 발생할 수 있습니다. - 임신의 어려움 - 열감 - 야간 발한 - 질 건조증 - 안구 건조증 - 과민성 또는 집중력 저하 - 성욕 감소 의료 전문가를 찾아야 할 시기: 생리가 3개월 이상 없었다면, 그 원인을 파악하기 위해 의료 전문가를 찾아가세요. 생리가 없는 이유는 임신, 스트레스, 식단 변화, 운동 습관 변화 등 여러 가지일 수 있지만, 생리 주기에 변화가 있을 때는 평가를 받는 것이 좋습니다. 생리가 없더라도 그 원인을 파악하기 위해 전문가를 찾아가는 것이 바람직합니다. 에스트로겐 수치가 낮으면 골 손실과 심장 질환의 위험이 증가할 수 있습니다."
기관지 천식,"기침, 고열, 호흡 곤란, 가족력, 점액성 가래"
말라리아,"오한, 구토, 고열, 발한, 두통, 메스꺼움, 설사, 근육통"
후부 피질 위축증,"후두엽 위축의 증상은 사람마다 다르게 나타날 수 있으며, 시간이 지남에 따라 변할 수 있습니다. 이러한 증상은 점차 악화되는 경향이 있습니다. 일반적인 증상으로는 다음과 같은 어려움이 포함됩니다: 읽기, 철자법 또는 수학 문제 해결, 운전, 옷 입기, 움직이는 물체와 정지된 물체를 구별하기, 물체의 거리를 판단하기, 일상적인 물건이나 도구 사용하기, 좌우 구분하기. 그 외에도 흔한 증상으로는 불안, 혼란, 행동 및 성격 변화가 있습니다. 기억력 문제는 병이 진행된 후에 나타날 수 있습니다. 원인 후두엽 위축의 가장 흔한 원인은 일반적이지 않은 형태의 알츠하이머병으로, 뇌의 후두부에 영향을 미칩니다. 그 외 덜 흔한 원인으로는 피질기저핵 변성, 루이체 치매, 크로이츠펠트-야콥병 등이 있습니다. 연구자들은 이 상태와 관련된 잠재적인 유전자 변이를 조사하고 있습니다. 위험 요인 후두엽 위축에 알츠하이머병의 위험 요인이 영향을 미칠 수 있는지에 대해서는 추가 연구가 필요합니다."
경추 척추증,허리 통증과 기침이 있으며 팔과 다리에 저림 증상이 있습니다. 목도 아프고 어지러움과 균형 감각의 이상을 느끼고 있습니다.
골관절염,"관절 통증, 목 통증, 무릎 통증, 고관절 통증, 관절 부기, 걷기 시 통증"
측두엽 발작,"측두엽 발작 전에 경고 신호로 작용할 수 있는 비정상적인 감각(오라)이 나타날 수 있습니다. 모든 측두엽 발작 환자가 오라를 경험하는 것은 아니며, 오라를 경험하더라도 이를 기억하지 못하는 경우도 있습니다. 오라는 의식이 손상되기 전, 부분 발작의 첫 단계입니다. 오라의 예로는 다음과 같은 것들이 있습니다: 갑작스러운 이유 없는 두려움이나 기쁨의 감정, 데자뷰 경험(현재 일어나고 있는 일이 이전에 일어났던 것 같은 느낌), 갑작스럽거나 이상한 냄새나 맛, 놀이기구를 타는 것과 같은 복부의 상승감 등이 있습니다. 때때로 측두엽 발작은 다른 사람에게 반응하는 능력을 저하시킬 수 있습니다. 이러한 유형의 측두엽 발작은 보통 30초에서 2분 정도 지속됩니다. 특징적인 징후와 증상으로는 주변 환경에 대한 인식 상실, 응시, 입술을 깨무는 행동, 반복적인 삼키기나 씹기, 집는 동작과 같은 비정상적인 손가락 움직임 등이 있습니다. 측두엽 발작 후에는 혼란 상태와 말하기 어려움, 발작 중에 일어난 일을 기억하지 못함,"
알코올성 간염,"구토, 황달, 복통, 복부 팽만, 복부 팽창, 음주력, 체액 과다"
저혈당증,"구토, 피로, 불안, 발한, 두통, 메스꺼움, 과도한 허기, 입술 건조 및 따끔거림, 발음이 어눌함, 과민성, 심계항진"
