label,text
간농양,"화농성 간농양이 생기면 세균 또는 기생충에 의한 간내 고름 형성과 이로 인한 염증으로 인해 다양한 임상적 증상과 증후가 나타나게 됩니다. ? 발열(90%) ? 복부 통증 및 압통(55~74%) ? 오한(38~49%) ? 식욕부진(38%) ? 체중감소(25~43%) ? 구역과 구토(28~43%) ? 허약감과 권태감(30%) 상복부를 눌렀을 때 통증이 있으며 간이 커져 있거나 황달(빌리루빈이라는 색소가 피부에 침착되어 얼굴이나 몸이 노랗게 되는 것)이 나타나기도 합니다. 대개 2주 이내에 이런 증상이 나타나지만, 어떤 경우에는 5~6개월 후에 증상이 나타나기도 합니다. 아메바성 간농양의 증상과 증후도 화농성 간농양과 거의 비슷합니다. 화농성 간농양보다는 증상이 약간 덜하며 발열 및 오한, 무기력, 구역 및 구토, 식욕 부진, 체중감소 등을 보일 수 있습니다. 일부 환자는 가슴에 통증을 느끼거나 기침, 호흡 곤란 등을 호소하기도 합니다. 설사가 있는 경우는 20% 전후로 흔하지 않습니다. 간이 커져 있거나 오른쪽 상복부를 눌렀을 때 통증이 있기도 합니다. 황달은 화농성 간농양에 비해 다소 적어 5~8% 정도에서 나타납니다. "
간염,"바이러스 간염의 주요 증상은 피로감, 졸음 및 식욕 부진같은 비특이적인 전신 증상과 함께, 짙은 갈색 소변과 눈의 흰자위와 피부가 노랗게 변하는 황달과 오른쪽 상복부의 통증같은 간염의 특징적인 증상이 있습니다.   만성 바이러스 간염의 증상은 무증상 감염에서부터 말기 간부전까지 다양합니다. 만성 간염으로 진행한 환자의 대부분은 서서히 증상을 경험하게 됩니다. 1. 만성 간염의 일반적인 증상 만성 바이러스 간염의 증상은 무증상 감염에서부터 말기 간부전까지 다양합니다. 만성 간염 초기에는 대부분 특별한 증상이 없으며 질환이 진행하면서 서서히 증상을 경험하게 됩니다. 간염과 관련된 증상으로는 만성 피로가 가장 흔합니다. 만성 간염이 진행된 경우 간헐적 또는 지속적 황달이 오게 되며 식욕 부진, 구역 또는 구토를 호소하는 경우도 있습니다.  2. 만성 간염의 합병증과 관련된 증상  1) 간경화(간경변증)의 증상  간경화(간경변증)로 인해 발생하는 대표적인 증상인 황달은 짙은 갈색 소변과 눈의 흰자위와 피부가 노랗게 변하는 증상을 말합니다. 복수가 차면 복부 팽만감을 느끼게 되고 이로 인해 식욕 부진이 더욱 심해지기도 합니다. 간경화(간경변증)가 진행하면서 식도 또는 위 정맥이 늘어나는 정맥류가 발생하기도 하며, 이는 간경화(간경변증) 환자에서 심각한 위장관 출혈의 원인이 됩니다. 또한 간 기능이 나빠지면서 간성 혼수가 발생하기도 하는데 시간, 장소, 사람에 대한 지남력이 떨어지고 심한 경우 의식이 흐려지는 증상이 발생하기도 합니다.  2) 간암(간세포암종)의 증상  진행성 간암으로 진행하기 전까지는 간암 환자의 대부분은 간암과 관련된 특별한 증상을 느끼지 않습니다. 간암이 진행하면서 식욕 부진이 심해져서 식사량이 줄고 이에 따라 체중이 감소하는 경우도 있으나, 간경화(간경변증)가 동반된 경우가 많아 복수가 차면 체중이 오히려 늘게 되는 경우도 있습니다. 증상이 발현하는 진행 간암 상태로 진단되는 경우, 효과적인 치료를 기대하기 어렵고 임상 경과가 매우 좋지 못하므로 간암의 고위험군인 만성 간염 환자는 주기적인 간암 감시 검사를 반드시 받아야 합니다. "
감기,"감기의 주요 증상은 콧물, 코막힘, 재채기, 인후통, 기침입니다. 주로 코, 인두부, 인후부 등 상기도에 국한됩니다. 발열은 유아와 소아가 성인에 비해 더 흔하게 발생합니다.  인후통, 권태감, 발열이 시작된 후 하루나 이틀이 지나면 콧물, 코막힘, 기침이 발생합니다. 인후부의 동통(쑤시고 아픔), 건조감, 이물감도 느낄 수 있습니다.  증상은 시작된 후 2~3일까지 최고로 심해진 후 1주 정도가 지나면 대부분 사라집니다. 일부 환자에게서는 증상이 2주까지 지속되기도 합니다. 감기로 인해 인후부가 손상되기도 하는데, 특히 건조한 계절에 감기로 손상된 인후부가 정상으로 회복이 되지 않으면 기침, 가래, 후두부의 이물감이 3주 이상 지속되기도 합니다. 흡연자의 경우 기침이 좀 더 심하고 오래 지속됩니다. 비염이 있는 경우 후비루 증후군이 지속되는 경우가 있고 부비동염, 천식과 유사한 증상을 보이기도 합니다.  원인 바이러스가 같을지라도 나이에 따라 발생 질환에 다소 차이가 있습니다. 소아에서 바이러스 폐렴, 후두 크루프(상기도 막힘), 세기관지염을 일으키는 파라인플루엔자 바이러스와 호흡기 세포 융합 바이러스는 성인에서는 감기만을 일으킵니다. "
감염단핵구증,"신생아나 소아는 엡스타인-바 바이러스에 감염되어도 대부분 증상이 없거나 가볍습니다. 후진국이나 개발도상국 혹은 위생 상태가 좋지 않은 환경에서는 대부분 신생아나 소아기에 엡스타인-바 바이러스에 감염되기 때문에 청소년이나 성인이 감염되는 경우는 거의 없습니다. 하지만 선진국이나 청결한 환경에 사는 사람들은 청소년기나 성인이 되어 엡스타인-바 바이러스에 처음 감염되는 경우가 흔하고, 이런 경우 증상을 동반한 감염단핵구증이 발생할 수 있습니다.  젊은 성인이 엡스타인-바 바이러스에 감염되면 4-6주간의 무증상 잠복기를 거쳐 피로감, 권태감 및 근육통이 약 1-2주 동안 지속됩니다. 이후 발열, 인후통 및 림프절 비대가 발생합니다. "
감염성심내막염,"급성 심내막염이 생기면 발열, 식은땀, 근육통, 전신무력감 등 감기와 비슷한 증상이 나타납니다. 만성 심내막염은 수개월에 걸쳐 증상이 나타나는데 오한, 발열, 피로, 체중 감소, 근육통, 관절통 등이 생길 수 있고, 심부전이 동반되면 몸이 붓고 숨이 차며 분홍빛의 가래가 나올 수 있습니다. 심장 질환이 있는 사람에게서 원인 불명의 열이 4~5일 이상 지속되면 감염성 심내막염의 가능성을 반드시 염두에 두어야 합니다. 염증 반응으로 생긴 증식물로 인해 판막이나 심장 근육이 손상될 수 있으며, 판막 손상으로 인해 새로운 심잡음이 들릴 수 있고 심부전이 동반될 수 있습니다. 50% 정도의 환자에서는 떨어져 나온 증식물이 여러 장기(뇌, 폐, 신장, 비장, 피부)로 가는 혈관을 막아 색전증이 생길 수 있습니다. 막힌 혈관 이후 부위는 혈액 공급이 되지 않아 조직이 죽는데, 특히 뇌혈관을 막으면 뇌경색이나 뇌농양이 발생해 신체 일부가 마비될 수 있습니다. 또한 세균에 대한 다양한 면역 반응 중에 생성된 물질들이 조직에 침착하여 관절염, 사구체 신장염 등이 생기기도 합니다. 그 외에 손바닥이나 발바닥, 구강의 점막에 붉은 반점이 생길 수 있고, 손가락이나 발가락에 통증을 동반한 결절이 생기기도 합니다. "
갑상선 결절,"대부분의 갑상선 결절은 별다른 증상이 없습니다. 과거에는 비교적 큰 결절이 되어서 환자 스스로 갑상선의 결절을 만지게 되거나 거울을 보는 중 앞쪽 목 부위 혹을 발견하여 병원을 찾는 경우가 대부분이었습니다. 그러나 최근에는 초음파 검사기기의 보급이 보편화되고 활용이 늘어남에 따라서 상당수의 갑상선 결절이 밖에서 만져지거나 튀어나와 보이기 전에 건강검진을 통해 발견되는 경우가 많아졌습니다. 대부분의 갑상선 결절은 갑상선호르몬을 분비하지 않지만 일부 갑상선 결절은 갑상선호르몬을 분비하는 세포로 이루어진 경우가 있으며 이를 기능성 갑상선 결절이라고 합니다. 이 경우 암의 가능성은 오히려 매우 떨어지는 것으로 알려져 있습니다. 기능성 갑상선 결절은 요오드 결핍 지역에서 주로 발견됩니다. 우리나라와 같이 요오드의 섭취가 풍부한 지역에서는 대부분 갑상선호르몬을 분비하지 않는 비기능성 갑상선 결절이고 기능성 갑상선 결절은 매우 드뭅니다. 일부의 환자는 결절이 갑자기 커지는 경우 경부, 턱 그리고 귀 부위에 통증을 호소하기도 합니다. 결절이 매우 큰 경우에는 ‘삼키기 곤란’을 유발하거나 앞쪽 목 부위 불편감을 유발할 수 있습니다. 기도를 압박하는 경우에는 ‘호흡 곤란’을 유발합니다. 드물지만 결절이 성대 근처의 신경을 자극하는 경우 목소리의 변화를 일으킬 수도 있습니다. 다음과 같은 경우가 동반되는 경우에는 악성의 가능성이 있으므로 적극적으로 검사를 시행하여야 합니다. "
갑상선 양성 종양,"갑상선은 인체의 내분비 기관 중 가장 큰 장기로, 목 앞부분에 위치하기 때문에 주의 깊게 관찰하면 형태의 이상을 발견할 수 있습니다. 목 앞쪽에 툭 튀어나온 갑상선 연골 아래를 만져보면 고리 모양의 연골이 있고, 그 아래 기관지 양쪽에 갑상선이 있습니다. 거울 앞에서 턱을 약간 들고 침을 삼키거나 물을 마실 때 갑상선이 상하로 움직이는 것을 볼 수도 있습니다. 이때 손가락을 갑상선 부위에 놓고 관찰하면 갑상선이 커졌는지 알 수 있습니다. 일반적으로 정상 갑상선은 보이지 않고 만져지지 않으므로 커졌거나 만져지면 반드시 전문의를 찾아야 합니다. 대부분의 갑상선 결절은 증상이 없습니다. 일부에서 결절이 주위 조직, 기도나 식도를 압박하여 삼킴곤란, 호흡곤란을 일으킬 수 있는데, 이는 주로 갑상선 결절의 크기가 매우 커졌을 때입니다. 갑상선 결절이 주위 조직에 붙어 고정되거나, 성대를 침범해 쉰 목소리가 나타날 수 있습니다. 수년 동안 결절 크기에 변화가 없거나 서서히 커질 때는 양성 결절을 시사하지만, 최근 수개월 사이에 갑자기 커질 때는 악성 결절을 고려해야 합니다. 결절이 고정되어 있거나 매우 딱딱한 경우, 경부 림프절이 만져질 때는 악성 결절 가능성이 높습니다. "
갑상선기능항진증,"1. 갑상선항진증의 일반적 증상 갑상선호르몬은 몸의 신진대사를 촉진하고 에너지를 지속적으로 소모시키기 때문에 땀이 많이 나고, 더위를 참지 못하며 물을 많이 마시게 됩니다. 전반적으로 피로감이 증가하고 전신쇠약감을 호소합니다. 갑상선호르몬이 많아지면 식욕이 증가하여 음식섭취가 늘어나지만 에너지 소모 또한 증가하여 대체로 체중이 감소되며, 노인의 경우 식욕 부진으로 체중이 감소되기도 합니다. 많은 환자에서 갑상선의 크기가 커져 목 부분이 전체적으로 부풀어 오르는 갑상선종이 나타납니다. 2. 신경계 증상 쉽게 흥분하며 불안한 느낌이 들고 예민해지며, 집중력이 저하되어 업무수행 능력이 현저히 떨어지고 손발이 떨립니다. 수면을 잘 이루지 못하고 과민반응을 보입니다. 3. 심혈관계 증상 맥박이 빨라 가슴이 두근거리고 빨리 걸을 경우 숨이 찹니다. 간혹 부정맥이 발생하여 불규칙한 심장 박동이 느껴지기도 합니다. 4. 소화기계 증상 갑상선호르몬이 많아지면 장 운동이 증가하게 되어 대변을 자주 보거나 설사가 지속되기도 합니다. 5. 근골격계 증상 근육이 위축되고 근육의 힘이 약화되며 심한 경우 심한 근무력증이 발생하기도 합니다. 혹은 주기적 저칼륨성 마비가 발생하거나, 뼈의 칼슘 대사가 증가되어 뼈의 강도를 나타내는 골밀도 측정 시 골감소증 혹은 골다공증이 진단되기도 합니다. 6. 피부 증상 신진대사의 증가로 체온이 증가하고 피부가 따뜻하며 축축해지고 손바닥에 땀이 많이 납니다. 이전에 없던 가려움증이 생깁니다. 머리카락이 빠지는 증상이 나타나나 대부분 일시적 현상으로 갑상선항진증이 호전되면 탈모로 진행되지 않습니다. 일부 환자에서 손톱박리증이 생기고 정강뼈 앞부분의 피부가 오렌지껍질처럼 두꺼워지기도 합니다. 7. 생식기계 증상 여성의 경우 월경이 불규칙해지며 무월경이 생기기도 합니다. 갑상선항진증이 지속될 경우 불임의 한 원인이 되기도 합니다. 남성의 경우 성기능 저하가 일어나고 정자수가 감소되며 임신율이 낮아지고 여성처럼 유방이 커지는 증상이 나타나기도 합니다. 8. 안구 증상  일부 환자에서 갑상선 안병증을 동반합니다. 눈이 부시고 눈에 다른 이물질이 들어간 듯한 느낌이 듭니다. 심한 경우 물체가 두 개로 보이고 눈이 튀어나오는 안구돌출 증상이 나타납니다. 눈의 붓기가 심해지면 드물게 시신경을 압박하여 시력 손실이 오기도 합니다. "
결핵,"결핵에 처음 감염되는 초감염 결핵에서는 증상이 없거나 발열, 불쾌감과 같은 가벼운 전신 증상이 나타납니다. 또한 림프절이 커져서 기관지를 압박하면서 발작 기침이나 쌕쌕거리는 소리(천명), 호흡 곤란이 나타날 수 있고 피부 병변이나 관절통이 발생할 수도 있습니다.  재감염 폐결핵의 흔한 증상으로는 오랫동안 지속되는 기침, 체중 감소, 식은 땀, 발열, 전신 무력감과 식욕 부진 등이 있습니다. 결핵이 진행되어 폐가 파괴되거나 물(흉수)이 차면 호흡 곤란이 나타날 수 있고, 기관지 결핵이나 공동(폐에 공간 형성)이 동반된 폐결핵에서는 객혈이 발생할 수 있습니다. 뚜렷한 원인 없이 2~3주 이상 기침 등의 호흡기 증상이 있으면 결핵의 가능성을 고려해야 합니다. 하지만 고령의 환자나 면역 저하자에서는 전형적인 증상이 드물고, 만성 폐쇄성 폐 질환이나 천식 환자 등은 원래 가지고 있는 질환의 증상과 폐결핵의 증상이 비슷해서 폐결핵 진단이 늦어질 수 있습니다. 또한 폐결핵이 아닌 다른 장기의 결핵을 앓고 있는 사람들은 그 장기의 종류에 따라 다양한 증상을 나타낼 수 있습니다. "
고칼슘혈증,"고칼슘혈증은 칼슘의 상승폭에 따라 증상 및 중증도가 결정됩니다. 정상보다 1~1.5 mg/dL 정도 상승한 중등도 고칼슘혈증(칼슘 농도 11~11.5 mg/dL)은 특별한 증상이 없는 경우도 많으나, 집중장애, 성격장애, 우울함 같은 비특이적 신경학적 증상을 보일 수도 있습니다. 그 외에도 오심, 식욕부진, 변비, 소화성 궤양, 반복적인 췌장염 등의 소화기 증상이나, 신결석의 발생 위험 증가, 골강도 감소에 따른 골절 위험 증가 등이 동반됩니다. 장기간 지속되면 골통증을 호소하는 경우도 있습니다. 심한 고칼슘혈증(>12~13 mg/dL)에서는 다뇨에 따른 급성 신손상과 더불어 혼수/혼미 등의 중증 신경학적 증상이 발생할 수 있습니다. 또한 심전도상 짧은 QT간격 변화에 따른 서맥, 부정맥이 발생할 수 있으므로 심전도 변화를 반드시 확인해야 합니다. "
