질환명,링크
가드네렐라 바지날리스 [Gardnerella Vaginalis],https://terms.naver.com/entry.naver?docId=6225769&cid=51007&categoryId=51007
가랑이통증 [Perineal pain],https://terms.naver.com/entry.naver?docId=6225888&cid=51007&categoryId=51007
가래 검사 [sputum examination],https://terms.naver.com/entry.naver?docId=2119536&cid=51007&categoryId=51007
"가래톳 [bubo, groin lump]",https://terms.naver.com/entry.naver?docId=927582&cid=51007&categoryId=51007
가성근시 [pseudomyopia],https://terms.naver.com/entry.naver?docId=927277&cid=51007&categoryId=51007
가스 괴저병 [gas gangrene],https://terms.naver.com/entry.naver?docId=927015&cid=51007&categoryId=51007
가슴통증 [chest pain],https://terms.naver.com/entry.naver?docId=927416&cid=51007&categoryId=51007
가시털정체증 [Trichostasis spinulosa],https://terms.naver.com/entry.naver?docId=6225848&cid=51007&categoryId=51007
가와사키병 [Kawasaki disease],https://terms.naver.com/entry.naver?docId=926647&cid=51007&categoryId=51007
가정혈당 측정 [Home blood glucose measurement],https://terms.naver.com/entry.naver?docId=5749194&cid=51007&categoryId=51007
가정혈압 측정 [Home blood pressure measurement],https://terms.naver.com/entry.naver?docId=5749196&cid=51007&categoryId=51007
가진통 [false labor],https://terms.naver.com/entry.naver?docId=927601&cid=51007&categoryId=51007
각기병 [beriberi],https://terms.naver.com/entry.naver?docId=926824&cid=51007&categoryId=51007
각막 굴절 교정술 렌즈 [orthokeratologic lens],https://terms.naver.com/entry.naver?docId=927798&cid=51007&categoryId=51007
"각막 반흔 및 혼탁 [corneal scar, corneal opacity]",https://terms.naver.com/entry.naver?docId=926945&cid=51007&categoryId=51007
각막 이식 [corneal transplantation],https://terms.naver.com/entry.naver?docId=927785&cid=51007&categoryId=51007
각막궤양 [corneal ulcer],https://terms.naver.com/entry.naver?docId=2119750&cid=51007&categoryId=51007
각막손상 [Corneal Injury],https://terms.naver.com/entry.naver?docId=6225994&cid=51007&categoryId=51007
각막염 [keratitis],https://terms.naver.com/entry.naver?docId=926946&cid=51007&categoryId=51007
각변형 [angular deformity],https://terms.naver.com/entry.naver?docId=927524&cid=51007&categoryId=51007
각변형 치료 [angular deformity correction],https://terms.naver.com/entry.naver?docId=927773&cid=51007&categoryId=51007
각성장애 [Sleep arousal disorder],https://terms.naver.com/entry.naver?docId=6225764&cid=51007&categoryId=51007
