증상,일상말
건선,살이 자꾸 막벗겨지고 간지러워 긁었더니 빨개지고 따끔거리는데괜찮은거겠지?
하지정맥류,따리가 푸르딩딩 울퉁불퉁해지고 저릿저릿 아픈데 오래 서있기도 힘들아ㅠ 이거 왜 이래?
장티푸스,머리가 띵하고 열이 펄펄 나는데 속이 매스꺼워서 아무것도 못 먹겠어. 이거뭐지?
수두,몸애 빨간 물집이랑 따끔따끔한 게 가득한데 점점더 많아지는것 같아. 어떡해?
농가진,입 주변이 노랗게딱지 앉고 간지러운데 다 터져서 짜증나... 이거 뭐야?
뎅기열,몸이 오들오들 떨리고 온몸이 쑤셔대는데 열도 펄펄 나고... 이거어쩌지?
곰팡이 감염,발가락 사이가 가려운데 자꾸 하얗게 뭐가 일어나고 간지러워서참을 수가 없어.
감기,"콧물은 줄줄,콜록콜록 기침 나고 목도 칼칼... 이거 감기 걸린거 맞지?"
폐렴,기침이 콜록콜록 심하고 숨 쉴때마다 쌕쌕거려서 가슴도답답한데 이거 왜 이래?
혼합 치질,"엉덩이가 묵직하고 아랫배가 아파서 앉아있기도 힘든데, 이거심각한거 아냐?"
관절염,손마디가 욱신욱신 아프고 아침엔뻣뻣해져서 펜 잡기 힘든데 왜 이러지ㅠ
여드름,얼굴에 울긋불긋 뭐가 막 나고 따갑고 아파서 만지기도 싫은데 이거 어쩌지?
기관지 천식,가슴잉 답답하고 쿨럭쿨럭 숨쉬기가 힘들어지는데이거 왜이래?
고혈압,"머리가 지끈지끈아프고 어지러운데이게 뭐지, 문제있는 건가?"
편두통,"머리가지끈지끈 아파서 눈 뜨기도 힘든데, 이거 뭐 어떻게해야 돼?"
경추 척추증,목이 뻣뻣하고 욱씬거리늘데 돌아가질 않아서 찌뿌둥하니까넘불편해ㅠ 이꺼왜 이러지?
황달,눈잉랑 피부가 누리딩딩해지고 몸이 피곤한데 왜이래...?
말라리아,"오한이 들썩들썩 하더니 열도 펄펄 나고, 온몸이쑤시고 막 피곤한데 이거왜 이래?"
요로감염,"소변 볼때 따끔따끔 아프고, 자주마렵긴 한데 양은 적고 왜 이러냐 진짜?"
알레르기,"콧물이 줄줄나고 눈은간지러워서 따끔따끔한데, 이거 알레르긴가...?"
