파일명,유사도(%),음성 인식 텍스트,정답 텍스트
PA_0002-1-01-03-M-07-A.wav,97.44,콘센트 구멍에 젓가락 집어 넣었어요,콘센트 구멍에 젓가락 집어 넣었어요.
PA_0002-2-01-03-M-07-A.wav,83.33,식칼에 손이 배웠는데 피가 계속 흐르네요,"식칼에 손이 베었는데, 피가 계속 흐르네요."
PA_0002-3-01-03-M-07-A.wav,94.44,갑자기 얼굴에 여드름이 올라와서,갑자기 얼굴에 여드름이 올라와서요.
PA_0002-4-01-03-M-07-A.wav,92.86,내 치료도 받고 심하면 수술도 받으려고 입원했어요,네. 치료도 받고 심하면 수술도 받으려고 입원했어요.
PA_0002-5-01-03-M-07-A.wav,96.43,눈에 진물이 나기 시작하더니 아프기까지 해서 왔어요,눈에 진물이 나기 시작하더니 아프기까지해서 왔어요.
PA_0002-6-01-03-M-07-A.wav,89.29,머리로 떨어져 되는데 크게 넘어지진 않은 거 같아요,머리로 떨어졌댔는데 크게 넘어지진 않은 거 같아요.
PA_0002-7-01-03-M-07-A.wav,94.92,수면 상태에 문제가 있는 거 같아서 병원에 방문했어요,수면 상태에 문제가 있는 것 같아서 병원에 방문했어요.
PA_0002-8-01-03-M-07-A.wav,0.0,[음성 인식 실패: 이해할 수 없는 음성],택시요.
PA_0002-9-01-03-M-07-A.wav,91.67,네 이렇게 들면 돼요,네. 이렇게 들면 돼요?
PA_0002-10-01-03-M-07-A.wav,90.32,너의 하루도 빠짐없이 했어요,거의 하루도 빠짐없이 했어요.
PA_0002-11-01-03-M-07-A.wav,94.74,접촉 사고를 냈는데 가슴이 아파서요,접촉사고를 냈는데 가슴이 아파서요.
PA_0002-12-01-03-M-07-A.wav,85.71,혈압이 떨어지는 거 갔다 왔어요,혈압이 떨어지는 거 같아 왔어요.
PA_0002-13-01-03-M-07-A.wav,96.3,물리적인 충격은 없었는데 거의 집에만 있었거든요,물리적인 충격은 없었는데. 거의 집에만 있었거든요.
PA_0002-14-01-03-M-07-A.wav,97.2,일주일 전에 테니스를 치다가 땅을 좀 세게 짚었는데 그때 뭐가 잘못됐는지 그때부터 아프더라고요,일주일 전에 테니스를 치다가 땅을 좀 세게 짚었는데 그때 뭐가 잘 못 됐는지 그때부터 아프더라고요.
PA_0002-15-01-03-M-07-A.wav,95.77,어떤 동작이나 음성을 목적이나 위도 없이 반복하는 증상이 있어요,어떤 동작이나 음성을 목적이나 의도 없이 반복하는 증상이 있어요.
PA_0002-16-01-03-M-07-A.wav,87.5,우리 외에는 아픈데 없었어요,머리 외에는 아픈 데 없었어요.
PA_0002-17-01-03-M-07-A.wav,99.15,몰랐던 새로운 사람들을 만나서 이야기를 나누는 것이 어느 순간 너무 무섭고 두렵게 느껴지게 되어 왔습니다,몰랐던 새로운 사람들을 만나서 이야기를 나누는 것이 어느 순간 너무 무섭고 두렵게 느껴지게 되어 왔습니다.
PA_0002-18-01-03-M-07-A.wav,93.88,지금 밤에 잠을 못 잘 정도로 온몸이 아프네요,지금 밤에 잠을 못잘정도로 온몸이 아프네요.
PA_0002-19-01-03-M-07-A.wav,93.33,여기 아래 중간쯤에 있어요,여기 아래 중간 쯤에 있어요.
PA_0002-20-01-03-M-07-A.wav,95.24,이틀 전부터 말을 하거나 기침하거나 숨을 크게 쉬거나 하면 목이 아팠어요,이틀 전부터 말을 하거나 기침 하거나 숨을 좀 크게 쉬거나 하면 목이 아팠어요.
PA_0002-22-01-03-M-07-A.wav,88.89,골반 뼈도 아파요,골반뼈도 아파요.
